C,Paso,Key,Issue Type,Status,Priority,Summary,Description,Reporter,Assignee,Fecha del d¡a,Fecha de creaci¢n (Created),Fecha de inicio,D¡as Transcurridos al d¡a,Fecha prometida  vs NS,Fecha prometida   (Due Date),D¡as retraso vs Fecha prometida NS,D¡as retraso vs Fecha prometida (Due Date),D¡as en Diagn¢stico,Fecha de cierre (Resolved),Cumpli¢ NS,Cumpli¢ FP,D¡as efectivos,Labels,Nivel de servicio,Fecha reincidencia 1,Fecha reincidencia 2,Fecha reincidencia 3,Fecha reincidencia 4,Sow3,Fecha autorizaci¢n,D¡as en Autorizaci¢n
1,Q2,BXMPRJ-1299,Question,Open,High,AUTO-AUTORIZACION,"De las ¢rdenes con Bco. BX+, las que me alert¢ por sobregiro inclusive hasta la que no me alerto, cayeron en el m¢dulo de ""lista de autorizaci¢n de bajas y tasas"", donde se le autorizan las ¢rdenes a promoci¢n. 
Una vez descubiertas, proced¡ a auto-autorizarme y fue posible, revisar evidencia adjunta... 
El levantamiento de esta JIRA se consulto con Irma Aguilar.",Martin Cruz,Jacqueline Barradas,16/02/2015,13/02/2015,13/02/2015, 3 ,14/02/2015,,1,Sin Fecha,3,,No Cumpli¢,Sin Fecha,3,"CICLO4, D5",1,,,,,,,
1,Q4,BXMPRJ-1296,Question,Delivered,Medium,Diferencia en Precio DOCUFOR 12,El precio no esta calculado correctamente conforme al valor nominal vigente,Agustin Gutierrez,German Gomez,16/02/2015,13/02/2015,13/02/2015, 3 ,14/02/2015,,2,Sin Fecha,3,,No Cumpli¢,Sin Fecha,3,CICLO4,1,,,,,,,
1,Q4,BXMPRJ-1279,Question,Delivered,Medium,Bloqueo al ingrear a TAS,"El accesso al sistema TAS presenta bloqueo de registros al ingresar, esto ocurre generalmente despues de mantenimientos al usuario, por ejemplo permisos o reseteo de password. 
",Francisco Morales L¢pez,Francisco Morales L¢pez,16/02/2015,11/02/2015,11/02/2015, 5 ,12/02/2015,12/02/2015,3,4,5,,No Cumpli¢,No Cumpli¢,5,,1,,,,,,,
1,Q4,BXMPRJ-1278,Question,Delivered,Medium,tabla de equivalencias de TAS para sistema Solutrust (fiduciario),Necesito la tabla de equivalencias de Fiable-TAS para que el proveedor Solutrust actualice su programa a las claves de TAS y se puedan hacer pruebas con los archivos que se suben a Solutrust (sistema Fiduciario),Ana hernandez,Ana hernandez,16/02/2015,10/02/2015,10/02/2015, 6 ,11/02/2015,13/02/2015,4,3,6,,No Cumpli¢,No Cumpli¢,6,,1,,,,,,,
1,Q4,BXMPRJ-1277,Question,Delivered,Medium,reporte de operaci¢n moneda extranjera (UMS) para complementar ACLME,Requiero el archivo por la operaci¢n de instrumentos en moneda extranjera para complementar el formulario ACLME.,Ana hernandez,Antonio Laija Olmedo,16/02/2015,10/02/2015,16/02/2015, 0 ,17/02/2015,,0,Sin Fecha,6,,No Cumpli¢,Sin Fecha,6,,1,,,,,,,
,Q4,BXMPRJ-1277,Question,Delivered,Medium,reporte de operaci¢n moneda extranjera (UMS) para complementar ACLME,Requiero el archivo por la operaci¢n de instrumentos en moneda extranjera para complementar el formulario ACLME.,Ana hernandez,Ana hernandez,16/02/2015,10/02/2015,10/02/2015, 6 ,11/02/2015,,4,Sin Fecha,6,16/02/2015,No Cumpli¢,Sin Fecha,6,,1,,,,,,,
1,Q4,BXMPRJ-1276,Question,Delivered,Medium,Generaci¢n de promotores,"Requiero los reportes de generaci¢n de los promotores por mercado de capitales, mercado de dinero y sociedades de inversi¢n para su revisi¢n.",Ana hernandez,Ana hernandez,16/02/2015,10/02/2015,10/02/2015, 6 ,11/02/2015,,4,Sin Fecha,6,,No Cumpli¢,Sin Fecha,6,PruebasD6,1,,,,,,,
1,Q4,BXMPRJ-1271,Question,In Progress,High,Error en aviso forma de liquidaci¢n - No se pudo imprimir la liquidaci¢n,"Se liberaron operaciones el 10 de Febrero prueba d¡a 4 la interfaz regresa el error de que no se pudo imprimir la liquidaci¢n, Se anexa archivo en donde se presenta el descuadre de las chequeras y se presenta para apoyo de TAS la pantalla con el mensaje que se env¡a por la interfaz mostrando el error que regresa TAS",Beatriz P‚rez,Gabriela Cedillo,16/02/2015,10/02/2015,16/02/2015, 0 ,17/02/2015,,0,Sin Fecha,6,,No Cumpli¢,Sin Fecha,6,"CICLO4, Pruebas, PruebasD5, Reincidencia 1",1,16/02/2015,,,,,,
,Q4,BXMPRJ-1271,Question,Delivered,High,Error en aviso forma de liquidaci¢n - No se pudo imprimir la liquidaci¢n,"Se liberaron operaciones el 10 de Febrero prueba d¡a 4 la interfaz regresa el error de que no se pudo imprimir la liquidaci¢n, Se anexa archivo en donde se presenta el descuadre de las chequeras y se presenta para apoyo de TAS la pantalla con el mensaje que se env¡a por la interfaz mostrando el error que regresa TAS",Beatriz P‚rez,Mary Carmen Bonilla Lim¢n,16/02/2015,10/02/2015,10/02/2015, 6 ,11/02/2015,,4,Sin Fecha,6,16/02/2015,No Cumpli¢,Sin Fecha,6,"CICLO4, Pruebas, PruebasD5",1,16/02/2015,,,,,,
1,Q4,BXMPRJ-1270,Question,Delivered,High,"Error aviso forma de liquidaci¢n, cliente Interbancario","Se liber¢ una operaci¢n el 10 de Febrero prueba d¡a 4 donde el cliente es un intermediario (Deutsche Bank 16812) la interfaz regresa el error de que el cliente es proveedor y no se puede generar la liquidaci¢n causando un descuadre en las chequeras de Fiable contra TAS, Se anexa archivo en donde se presenta el descuadre de las chequeras y se presenta para apoyo de TAS la pantalla con el mensaje que se env¡a por la interfaz mostrando el error que regresa TAS",Beatriz P‚rez,Mary Carmen Bonilla Lim¢n,16/02/2015,10/02/2015,10/02/2015, 6 ,11/02/2015,,5,Sin Fecha,6,,No Cumpli¢,Sin Fecha,6,"CICLO4, PruebasD5",1,,,,,,,
